# time  created  delivered  delivered/created
19.0000 1 0 0.0000
34.0000 2 0 0.0000
51.0000 3 0 0.0000
53.0000 3 1 0.3333
58.0000 3 2 0.6667
70.0000 4 2 0.5000
87.0000 5 2 0.4000
88.0000 5 3 0.6000
99.0000 5 4 0.8000
103.0000 6 4 0.6667
105.0000 6 5 0.8333
112.0000 6 6 1.0000
120.0000 7 6 0.8571
130.0000 7 7 1.0000
136.0000 8 7 0.8750
152.0000 8 8 1.0000
155.0000 9 8 0.8889
173.0000 10 8 0.8000
192.0000 11 8 0.7273
208.0000 12 8 0.6667
210.0000 12 9 0.7500
227.0000 13 9 0.6923
235.0000 13 10 0.7692
245.0000 14 10 0.7143
261.0000 15 10 0.6667
276.0000 16 10 0.6250
278.0000 16 11 0.6875
289.0000 16 12 0.7500
293.0000 17 12 0.7059
294.0000 17 13 0.7647
309.0000 18 13 0.7222
328.0000 19 13 0.6842
329.0000 19 14 0.7368
346.0000 20 14 0.7000
365.0000 21 14 0.6667
380.0000 22 14 0.6364
395.0000 23 14 0.6087
410.0000 24 14 0.5833
414.0000 24 15 0.6250
429.0000 25 15 0.6000
445.0000 26 15 0.5769
461.0000 27 15 0.5556
469.0000 27 16 0.5926
480.0000 28 16 0.5714
497.0000 29 16 0.5517
515.0000 30 16 0.5333
519.0000 30 17 0.5667
534.0000 31 17 0.5484
553.0000 32 17 0.5313
570.0000 33 17 0.5152
588.0000 34 17 0.5000
603.0000 34 18 0.5294
607.0000 35 18 0.5143
622.0000 36 18 0.5000
638.0000 37 18 0.4865
656.0000 38 18 0.4737
671.0000 39 18 0.4615
688.0000 40 18 0.4500
707.0000 41 18 0.4390
711.0000 41 19 0.4634
726.0000 42 19 0.4524
741.0000 43 19 0.4419
750.0000 43 20 0.4651
760.0000 44 20 0.4545
779.0000 45 20 0.4444
793.0000 45 21 0.4667
798.0000 46 21 0.4565
813.0000 47 21 0.4468
828.0000 48 21 0.4375
846.0000 49 21 0.4286
861.0000 50 21 0.4200
876.0000 51 21 0.4118
881.0000 51 22 0.4314
885.0000 51 23 0.4510
895.0000 52 23 0.4423
910.0000 52 24 0.4615
914.0000 53 24 0.4528
933.0000 54 24 0.4444
952.0000 55 24 0.4364
969.0000 56 24 0.4286
986.0000 57 24 0.4211
987.0000 57 25 0.4386
1004.0000 58 25 0.4310
1022.0000 59 25 0.4237
1038.0000 60 25 0.4167
1040.0000 60 26 0.4333
1057.0000 61 26 0.4262
1076.0000 62 26 0.4194
1095.0000 63 26 0.4127
1097.0000 63 27 0.4286
1111.0000 64 27 0.4219
1126.0000 65 27 0.4154
1128.0000 65 28 0.4308
1143.0000 66 28 0.4242
1160.0000 67 28 0.4179
1179.0000 68 28 0.4118
1182.0000 68 29 0.4265
1194.0000 68 30 0.4412
1196.0000 69 30 0.4348
1198.0000 69 31 0.4493
1203.0000 69 32 0.4638
1214.0000 70 32 0.4571
1223.0000 70 33 0.4714
1224.0000 70 34 0.4857
1232.0000 71 34 0.4789
1234.0000 71 35 0.4930
1245.0000 71 36 0.5070
1248.0000 71 37 0.5211
1251.0000 72 37 0.5139
1270.0000 73 37 0.5068
1270.0000 73 38 0.5205
1287.0000 74 38 0.5135
1288.0000 74 39 0.5270
1305.0000 75 39 0.5200
1321.0000 76 39 0.5132
1336.0000 77 39 0.5065
1339.0000 77 40 0.5195
1352.0000 78 40 0.5128
1368.0000 79 40 0.5063
1369.0000 79 41 0.5190
1386.0000 80 41 0.5125
1401.0000 81 41 0.5062
1420.0000 82 41 0.5000
1438.0000 83 41 0.4940
1453.0000 84 41 0.4881
1468.0000 85 41 0.4824
1471.0000 85 42 0.4941
1484.0000 86 42 0.4884
1485.0000 86 43 0.5000
1495.0000 86 44 0.5116
1502.0000 87 44 0.5057
1510.0000 87 45 0.5172
1517.0000 88 45 0.5114
1536.0000 89 45 0.5056
1537.0000 89 46 0.5169
1547.0000 89 47 0.5281
1552.0000 90 47 0.5222
1570.0000 91 47 0.5165
1571.0000 91 48 0.5275
1586.0000 92 48 0.5217
1590.0000 92 49 0.5326
1601.0000 93 49 0.5269
1617.0000 94 49 0.5213
1619.0000 94 50 0.5319
1629.0000 94 51 0.5426
1634.0000 95 51 0.5368
1649.0000 96 51 0.5313
1668.0000 97 51 0.5258
1684.0000 98 51 0.5204
1688.0000 98 52 0.5306
1690.0000 98 53 0.5408
1698.0000 98 54 0.5510
1703.0000 99 54 0.5455
1718.0000 100 54 0.5400
1735.0000 101 54 0.5347
1739.0000 101 55 0.5446
1750.0000 102 55 0.5392
1765.0000 103 55 0.5340
1783.0000 104 55 0.5288
1802.0000 105 55 0.5238
1804.0000 105 56 0.5333
1818.0000 106 56 0.5283
1833.0000 107 56 0.5234
1848.0000 108 56 0.5185
1855.0000 108 57 0.5278
1863.0000 109 57 0.5229
1878.0000 109 58 0.5321
1881.0000 110 58 0.5273
1900.0000 111 58 0.5225
1918.0000 112 58 0.5179
1934.0000 112 59 0.5268
1937.0000 113 59 0.5221
1954.0000 114 59 0.5175
1970.0000 115 59 0.5130
1989.0000 116 59 0.5086
2008.0000 117 59 0.5043
2024.0000 118 59 0.5000
2043.0000 119 59 0.4958
2052.0000 119 60 0.5042
2059.0000 119 61 0.5126
2061.0000 120 61 0.5083
2061.0000 120 62 0.5167
2076.0000 121 62 0.5124
2079.0000 121 63 0.5207
2090.0000 121 64 0.5289
2095.0000 122 64 0.5246
2104.0000 122 65 0.5328
2104.0000 122 66 0.5410
2112.0000 123 66 0.5366
2131.0000 124 66 0.5323
2148.0000 125 66 0.5280
2163.0000 126 66 0.5238
2179.0000 127 66 0.5197
2195.0000 128 66 0.5156
2213.0000 129 66 0.5116
2232.0000 130 66 0.5077
2246.0000 130 67 0.5154
2248.0000 131 67 0.5115
2264.0000 132 67 0.5076
2265.0000 132 68 0.5152
2270.0000 132 69 0.5227
2275.0000 132 70 0.5303
2283.0000 133 70 0.5263
2293.0000 133 71 0.5338
2299.0000 133 72 0.5414
2302.0000 134 72 0.5373
2303.0000 134 73 0.5448
2320.0000 134 74 0.5522
2321.0000 135 74 0.5481
2321.0000 135 75 0.5556
2328.0000 135 76 0.5630
2336.0000 136 76 0.5588
2341.0000 136 77 0.5662
2344.0000 136 78 0.5735
2352.0000 137 78 0.5693
2367.0000 138 78 0.5652
2385.0000 139 78 0.5612
2404.0000 140 78 0.5571
2423.0000 141 78 0.5532
2424.0000 141 79 0.5603
2426.0000 141 80 0.5674
2434.0000 141 81 0.5745
2438.0000 142 81 0.5704
2438.0000 142 82 0.5775
2456.0000 143 82 0.5734
2457.0000 143 83 0.5804
2463.0000 143 84 0.5874
2464.0000 143 85 0.5944
2467.0000 143 86 0.6014
2472.0000 144 86 0.5972
2477.0000 144 87 0.6042
2489.0000 145 87 0.6000
2507.0000 146 87 0.5959
2508.0000 146 88 0.6027
2519.0000 146 89 0.6096
2523.0000 147 89 0.6054
2535.0000 147 90 0.6122
2538.0000 148 90 0.6081
2553.0000 148 91 0.6149
2557.0000 149 91 0.6107
2559.0000 149 92 0.6174
2575.0000 150 92 0.6133
2589.0000 150 93 0.6200
2591.0000 151 93 0.6159
2606.0000 152 93 0.6118
2623.0000 153 93 0.6078
2638.0000 153 94 0.6144
2640.0000 154 94 0.6104
2655.0000 155 94 0.6065
2662.0000 155 95 0.6129
2664.0000 155 96 0.6194
2665.0000 155 97 0.6258
2671.0000 156 97 0.6218
2677.0000 156 98 0.6282
2689.0000 157 98 0.6242
2694.0000 157 99 0.6306
2706.0000 158 99 0.6266
2708.0000 158 100 0.6329
2725.0000 159 100 0.6289
2729.0000 159 101 0.6352
2741.0000 160 101 0.6313
2757.0000 161 101 0.6273
2772.0000 162 101 0.6235
2787.0000 163 101 0.6196
2802.0000 164 101 0.6159
2817.0000 165 101 0.6121
2835.0000 166 101 0.6084
2843.0000 166 102 0.6145
2853.0000 167 102 0.6108
2859.0000 167 103 0.6168
2868.0000 168 103 0.6131
2877.0000 168 104 0.6190
2886.0000 169 104 0.6154
2896.0000 169 105 0.6213
2902.0000 170 105 0.6176
2909.0000 170 106 0.6235
2917.0000 171 106 0.6199
2922.0000 171 107 0.6257
2924.0000 171 108 0.6316
2925.0000 171 109 0.6374
2933.0000 172 109 0.6337
2947.0000 172 110 0.6395
2952.0000 173 110 0.6358
2967.0000 173 111 0.6416
2968.0000 174 111 0.6379
2984.0000 175 111 0.6343
3000.0000 176 111 0.6307
3015.0000 177 111 0.6271
3022.0000 177 112 0.6328
3024.0000 177 113 0.6384
3031.0000 178 113 0.6348
3033.0000 178 114 0.6404
