# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
67.0000 m2 592655 7 33.0000 p42 p35 599 N p42->p87->p9->p31->p33->p37->p62->p35
88.0000 m1 722077 13 69.0000 p70 p2 598 N p70->p38->p39->p63->p65->p64->p73->p16->p8->p15->p13->p11->p1->p2
107.0000 m4 287161 8 37.0000 p24 p5 599 N p24->p2->p1->p11->p13->p17->p7->p51->p5
111.0000 m3 564525 14 60.0000 p24 p62 599 N p24->p2->p1->p11->p13->p23->p14->p6->p7->p16->p9->p31->p33->p53->p62
118.0000 m6 275437 4 15.0000 p58 p36 599 N p58->p57->p78->p85->p36
128.0000 m5 417995 8 41.0000 p43 p56 599 N p43->p51->p6->p12->p73->p64->p54->p68->p56
155.0000 m8 359380 5 19.0000 p64 p30 599 N p64->p73->p52->p9->p31->p30
211.0000 m12 612426 1 3.0000 p32 p30 599 N p32->p30
244.0000 m13 374287 5 17.0000 p43 p40 599 N p43->p87->p9->p12->p6->p40
257.0000 m14 486055 2 12.0000 p53 p68 599 N p53->p65->p68
279.0000 m15 582832 4 18.0000 p58 p39 599 N p58->p57->p83->p77->p39
296.0000 m16 352865 7 20.0000 p43 p35 599 N p43->p87->p9->p31->p33->p53->p65->p35
298.0000 m17 499391 1 5.0000 p24 p25 599 N p24->p25
330.0000 m19 355561 1 2.0000 p27 p26 599 N p27->p26
416.0000 m24 710513 2 6.0000 p42 p9 599 N p42->p87->p9
467.0000 m26 541818 6 22.0000 p23 p50 599 N p23->p13->p19->p18->p21->p4->p50
514.0000 m29 537497 4 17.0000 p23 p9 599 N p23->p14->p6->p12->p9
605.0000 m34 700409 5 17.0000 p29 p65 599 N p29->p9->p31->p33->p53->p65
605.0000 m30 377645 2 90.0000 p55 p47 598 N p55->p58->p47
622.0000 m11 278419 6 430.0000 p40 p53 592 N p40->p6->p12->p9->p31->p33->p53
654.0000 m18 492492 10 345.0000 p33 p47 594 N p33->p30->p31->p9->p12->p72->p22->p67->p55->p58->p47
670.0000 m20 276013 7 324.0000 p31 p56 594 N p31->p9->p12->p72->p22->p67->p68->p56
679.0000 m32 542264 5 126.0000 p44 p17 597 N p44->p21->p18->p19->p13->p17
681.0000 m31 463183 5 147.0000 p44 p23 597 N p44->p21->p18->p19->p13->p23
704.0000 m40 559115 3 16.0000 p34 p36 599 N p34->p53->p62->p36
710.0000 m41 398523 1 3.0000 p66 p64 599 N p66->p64
808.0000 m9 538290 11 653.0000 p60 p51 589 N p60->p47->v1107->v5141->p20->p18->p19->p13->p23->p17->p7->p51
897.0000 m25 256552 8 468.0000 p58 p51 592 N p58->p57->p68->p67->p64->p72->p12->p8->p51
916.0000 m22 405835 8 536.0000 p57 p33 591 N p57->p68->p67->p64->p73->p16->p9->p31->p33
947.0000 m28 660532 15 467.0000 p44 p39 592 N p44->p21->p18->p19->p13->p14->p6->p12->p72->p64->p67->p55->p56->p78->p85->p39
962.0000 m55 282087 2 10.0000 p68 p62 599 N p68->p66->p62
974.0000 m38 545969 3 318.0000 p46 p45 594 N p46->v1101->v5146->p45
988.0000 m57 307725 1 2.0000 p54 p66 599 N p54->p66
1011.0000 m36 733332 8 389.0000 p47 p20 593 N p47->p60->p46->v1101->v5146->p45->p50->p44->p20
1013.0000 m48 402524 10 185.0000 p46 p7 596 N p46->v1101->v5146->p45->p4->p21->p18->p19->p13->p14->p7
1100.0000 m63 573483 1 5.0000 p63 p39 599 N p63->p39
1186.0000 m68 476095 2 7.0000 p71 p39 599 N p71->p69->p39
1199.0000 m69 665499 1 3.0000 p46 p58 599 N p46->p58
1235.0000 m71 620779 1 3.0000 p47 p49 599 N p47->p49
1242.0000 m21 314542 7 877.0000 p58 p70 585 N p58->p57->p78->p85->p76->p75->p38->p70
1247.0000 m70 644630 5 33.0000 p29 p67 599 N p29->p9->p12->p72->p22->p67
1309.0000 m42 399227 12 583.0000 p23 p47 590 N p23->p13->p19->p18->p21->p4->p45->p84->v5146->v195->p46->p58->p47
1338.0000 m77 409756 1 2.0000 p65 p68 599 N p65->p68
1345.0000 m49 612078 9 499.0000 p70 p61 591 N p70->p71->v5142->p74->p76->p85->p78->p57->p58->p61
1352.0000 m46 530315 5 554.0000 p31 p13 590 N p31->p9->p16->p8->p14->p13
1487.0000 m86 279780 1 3.0000 p57 p56 599 N p57->p56
1571.0000 m44 260289 10 811.0000 p49 p62 586 N p49->p47->p59->p46->v1101->v5146->v5141->v3124->p67->p65->p62
1588.0000 m92 497234 1 2.0000 p36 p62 599 N p36->p62
1603.0000 m91 423072 1 33.0000 p54 p68 599 N p54->p68
1609.0000 m87 282521 3 107.0000 p66 p12 598 N p66->p64->p72->p12
1631.0000 m93 598159 7 30.0000 p27 p50 599 N p27->p1->p11->p19->p18->p20->p44->p50
1694.0000 m56 362016 12 725.0000 p48 p39 587 N p48->p47->v1101->v5146->v5141->v3119->p54->p67->p55->p57->p78->p77->p39
1747.0000 m101 483321 3 12.0000 p39 p70 599 N p39->p75->p38->p70
1756.0000 m73 331565 3 486.0000 p62 p55 591 N p62->v5145->p66->p55
1791.0000 m96 473879 7 142.0000 p53 p59 597 N p53->p62->v5145->p66->p67->p68->p58->p59
1810.0000 m59 420574 6 788.0000 p48 p7 586 N p48->p47->v1101->v5146->v5141->p17->p7
1822.0000 m98 265082 7 138.0000 p68 p71 597 N p68->p56->p78->p77->p39->p75->p69->p71
1824.0000 m37 419415 11 1186.0000 p57 p11 580 N p57->p68->p67->p64->p72->p16->p7->p40->v5139->p27->p1->p11
1827.0000 m10 684873 16 1654.0000 p55 p44 572 N p55->p67->p64->p73->p52->p7->p40->p5->v4128->v5139->p27->p1->p11->p19->p18->p21->p44
1934.0000 m112 697511 2 16.0000 p53 p55 599 N p53->p65->p55
1948.0000 m75 429206 7 643.0000 p48 p43 589 N p48->p47->v5146->v5141->v197->p7->p51->p43
2043.0000 m118 408364 1 19.0000 p34 p66 599 N p34->p66
2079.0000 m121 729956 1 3.0000 p44 p45 599 N p44->p45
2108.0000 m122 642480 3 13.0000 p29 p8 599 N p29->p9->p12->p8
2133.0000 m119 288446 3 90.0000 p56 p39 598 N p56->p83->p77->p39
2166.0000 m35 718344 7 1559.0000 p34 p23 574 N p34->p66->p64->p72->p12->p6->p14->p23
2170.0000 m82 582609 7 750.0000 p34 p23 587 N p34->p66->p64->p72->p12->p6->p14->p23
2204.0000 m90 321407 7 652.0000 p56 p40 589 N p56->p55->p67->p64->p72->p12->p7->p40
2246.0000 m130 604265 2 14.0000 p67 p63 599 N p67->p66->p63
2289.0000 m106 258725 6 471.0000 p61 p12 592 N p61->p58->p68->p67->p22->p72->p12
