# time  created  delivered  delivered/created
19.0000 1 0 0.0000
34.0000 2 0 0.0000
51.0000 3 0 0.0000
54.0000 3 1 0.3333
64.0000 3 2 0.6667
70.0000 4 2 0.5000
87.0000 5 2 0.4000
93.0000 5 3 0.6000
100.0000 5 4 0.8000
103.0000 6 4 0.6667
111.0000 6 5 0.8333
120.0000 7 5 0.7143
136.0000 8 5 0.6250
147.0000 8 6 0.7500
155.0000 9 6 0.6667
159.0000 9 7 0.7778
173.0000 10 7 0.7000
192.0000 11 7 0.6364
208.0000 12 7 0.5833
210.0000 12 8 0.6667
227.0000 13 8 0.6154
237.0000 13 9 0.6923
245.0000 14 9 0.6429
252.0000 14 10 0.7143
261.0000 15 10 0.6667
272.0000 15 11 0.7333
276.0000 16 11 0.6875
289.0000 16 12 0.7500
293.0000 17 12 0.7059
294.0000 17 13 0.7647
309.0000 18 13 0.7222
328.0000 19 13 0.6842
329.0000 19 14 0.7368
346.0000 20 14 0.7000
365.0000 21 14 0.6667
380.0000 22 14 0.6364
395.0000 23 14 0.6087
410.0000 24 14 0.5833
414.0000 24 15 0.6250
429.0000 25 15 0.6000
445.0000 26 15 0.5769
461.0000 27 15 0.5556
461.0000 27 16 0.5926
480.0000 28 16 0.5714
481.0000 28 17 0.6071
497.0000 29 17 0.5862
509.0000 29 18 0.6207
515.0000 30 18 0.6000
534.0000 31 18 0.5806
553.0000 32 18 0.5625
570.0000 33 18 0.5455
588.0000 34 18 0.5294
600.0000 34 19 0.5588
600.0000 34 20 0.5882
606.0000 34 21 0.6176
607.0000 35 21 0.6000
622.0000 36 21 0.5833
638.0000 37 21 0.5676
647.0000 37 22 0.5946
656.0000 38 22 0.5789
661.0000 38 23 0.6053
662.0000 38 24 0.6316
671.0000 39 24 0.6154
688.0000 40 24 0.6000
698.0000 40 25 0.6250
707.0000 41 25 0.6098
709.0000 41 26 0.6341
726.0000 42 26 0.6190
741.0000 43 26 0.6047
760.0000 44 26 0.5909
779.0000 45 26 0.5778
795.0000 45 27 0.6000
798.0000 46 27 0.5870
813.0000 47 27 0.5745
828.0000 48 27 0.5625
846.0000 49 27 0.5510
861.0000 50 27 0.5400
876.0000 51 27 0.5294
895.0000 52 27 0.5192
914.0000 53 27 0.5094
933.0000 54 27 0.5000
952.0000 55 27 0.4909
957.0000 55 28 0.5091
969.0000 56 28 0.5000
973.0000 56 29 0.5179
986.0000 57 29 0.5088
987.0000 57 30 0.5263
995.0000 57 31 0.5439
1004.0000 58 31 0.5345
1022.0000 59 31 0.5254
1038.0000 60 31 0.5167
1057.0000 61 31 0.5082
1076.0000 62 31 0.5000
1095.0000 63 31 0.4921
1111.0000 64 31 0.4844
1126.0000 65 31 0.4769
1143.0000 66 31 0.4697
1145.0000 66 32 0.4848
1160.0000 67 32 0.4776
1172.0000 67 33 0.4925
1173.0000 67 34 0.5075
1179.0000 68 34 0.5000
1186.0000 68 35 0.5147
1196.0000 69 35 0.5072
1198.0000 69 36 0.5217
1214.0000 70 36 0.5143
1224.0000 70 37 0.5286
1225.0000 70 38 0.5429
1228.0000 70 39 0.5571
1232.0000 71 39 0.5493
1234.0000 71 40 0.5634
1251.0000 72 40 0.5556
1270.0000 73 40 0.5479
1287.0000 74 40 0.5405
1290.0000 74 41 0.5541
1294.0000 74 42 0.5676
1305.0000 75 42 0.5600
1321.0000 76 42 0.5526
1336.0000 77 42 0.5455
1337.0000 77 43 0.5584
1352.0000 78 43 0.5513
1365.0000 78 44 0.5641
1368.0000 79 44 0.5570
1382.0000 79 45 0.5696
1383.0000 79 46 0.5823
1386.0000 80 46 0.5750
1401.0000 81 46 0.5679
1420.0000 82 46 0.5610
1438.0000 83 46 0.5542
1453.0000 84 46 0.5476
1468.0000 85 46 0.5412
1484.0000 86 46 0.5349
1485.0000 86 47 0.5465
1502.0000 87 47 0.5402
1517.0000 88 47 0.5341
1536.0000 89 47 0.5281
1552.0000 90 47 0.5222
1570.0000 91 47 0.5165
1571.0000 91 48 0.5275
1586.0000 92 48 0.5217
1588.0000 92 49 0.5326
1601.0000 93 49 0.5269
1617.0000 94 49 0.5213
1619.0000 94 50 0.5319
1634.0000 95 50 0.5263
1649.0000 96 50 0.5208
1668.0000 97 50 0.5155
1670.0000 97 51 0.5258
1678.0000 97 52 0.5361
1680.0000 97 53 0.5464
1684.0000 98 53 0.5408
1688.0000 98 54 0.5510
1703.0000 99 54 0.5455
1718.0000 100 54 0.5400
1735.0000 101 54 0.5347
1742.0000 101 55 0.5446
1750.0000 102 55 0.5392
1752.0000 102 56 0.5490
1763.0000 102 57 0.5588
1765.0000 103 57 0.5534
1772.0000 103 58 0.5631
1777.0000 103 59 0.5728
1783.0000 104 59 0.5673
1802.0000 105 59 0.5619
1818.0000 106 59 0.5566
1833.0000 107 59 0.5514
1848.0000 108 59 0.5463
1863.0000 109 59 0.5413
1881.0000 110 59 0.5364
1882.0000 110 60 0.5455
1900.0000 111 60 0.5405
1918.0000 112 60 0.5357
1937.0000 113 60 0.5310
1954.0000 114 60 0.5263
1970.0000 115 60 0.5217
1989.0000 116 60 0.5172
2008.0000 117 60 0.5128
2024.0000 118 60 0.5085
2043.0000 119 60 0.5042
2061.0000 120 60 0.5000
2076.0000 121 60 0.4959
2078.0000 121 61 0.5041
2095.0000 122 61 0.5000
2103.0000 122 62 0.5082
2112.0000 123 62 0.5041
2131.0000 124 62 0.5000
2131.0000 124 63 0.5081
2148.0000 125 63 0.5040
2163.0000 126 63 0.5000
2179.0000 127 63 0.4961
2180.0000 127 64 0.5039
2181.0000 127 65 0.5118
2195.0000 128 65 0.5078
2213.0000 129 65 0.5039
2214.0000 129 66 0.5116
2232.0000 130 66 0.5077
2233.0000 130 67 0.5154
2235.0000 130 68 0.5231
2247.0000 130 69 0.5308
2248.0000 131 69 0.5267
2257.0000 131 70 0.5344
2264.0000 132 70 0.5303
2283.0000 133 70 0.5263
2302.0000 134 70 0.5224
2304.0000 134 71 0.5299
2306.0000 134 72 0.5373
2321.0000 135 72 0.5333
2336.0000 136 72 0.5294
2352.0000 137 72 0.5255
2366.0000 137 73 0.5328
2367.0000 138 73 0.5290
2385.0000 139 73 0.5252
2404.0000 140 73 0.5214
2423.0000 141 73 0.5177
2438.0000 142 73 0.5141
2442.0000 142 74 0.5211
2456.0000 143 74 0.5175
2472.0000 144 74 0.5139
2489.0000 145 74 0.5103
2499.0000 145 75 0.5172
2507.0000 146 75 0.5137
2508.0000 146 76 0.5205
2523.0000 147 76 0.5170
2538.0000 148 76 0.5135
2557.0000 149 76 0.5101
2558.0000 149 77 0.5168
2572.0000 149 78 0.5235
2575.0000 150 78 0.5200
2591.0000 151 78 0.5166
2606.0000 152 78 0.5132
2623.0000 153 78 0.5098
2631.0000 153 79 0.5163
2640.0000 154 79 0.5130
2642.0000 154 80 0.5195
2644.0000 154 81 0.5260
2655.0000 155 81 0.5226
2669.0000 155 82 0.5290
2671.0000 156 82 0.5256
2674.0000 156 83 0.5321
2680.0000 156 84 0.5385
2689.0000 157 84 0.5350
2694.0000 157 85 0.5414
2695.0000 157 86 0.5478
2699.0000 157 87 0.5541
2699.0000 157 88 0.5605
2703.0000 157 89 0.5669
2706.0000 158 89 0.5633
2707.0000 158 90 0.5696
2711.0000 158 91 0.5759
2712.0000 158 92 0.5823
2716.0000 158 93 0.5886
2721.0000 158 94 0.5949
2725.0000 159 94 0.5912
2730.0000 159 95 0.5975
2738.0000 159 96 0.6038
2741.0000 160 96 0.6000
2757.0000 161 96 0.5963
2772.0000 162 96 0.5926
2787.0000 163 96 0.5890
2802.0000 164 96 0.5854
2817.0000 165 96 0.5818
2835.0000 166 96 0.5783
2853.0000 167 96 0.5749
2868.0000 168 96 0.5714
2883.0000 168 97 0.5774
2886.0000 169 97 0.5740
2902.0000 170 97 0.5706
2905.0000 170 98 0.5765
2917.0000 171 98 0.5731
2921.0000 171 99 0.5789
2931.0000 171 100 0.5848
2933.0000 172 100 0.5814
2942.0000 172 101 0.5872
2946.0000 172 102 0.5930
2952.0000 173 102 0.5896
2955.0000 173 103 0.5954
2967.0000 173 104 0.6012
2968.0000 174 104 0.5977
2979.0000 174 105 0.6034
2984.0000 175 105 0.6000
2995.0000 175 106 0.6057
3000.0000 176 106 0.6023
3015.0000 177 106 0.5989
3031.0000 178 106 0.5955
3050.0000 179 106 0.5922
3065.0000 180 106 0.5889
3080.0000 181 106 0.5856
3082.0000 181 107 0.5912
3097.0000 182 107 0.5879
3116.0000 183 107 0.5847
3135.0000 184 107 0.5815
3153.0000 185 107 0.5784
3170.0000 186 107 0.5753
